destination_id,post_title,submitted_by,country,region,continent,activity_type,difficulty_level,best_time_to_visit,avg_trip_duration_days,estimated_cost_usd,avg_rating,total_reviews,total_saves,total_views,images_count,post_status,submission_date,approval_date,latitude,longitude,description_summary,accessibility,accommodation_type,nearest_major_city,distance_from_major_city_km,is_hidden_gem,environmental_sensitivity,tags
D001,The Lost Waterfalls of Nkuringo,T002,Uganda,Southwest Uganda,Africa,Hiking & Trekking,Moderate,June–August,5,450,4.7,38,92,1840,6,Approved,2025-01-10,2025-01-12,-1.0167,29.7167,"A series of five cascading waterfalls hidden deep within Bwindi forest. No tourist signs — locals guide you through.",Difficult,Eco-lodge,Kabale,47,TRUE,High,"waterfall,jungle,wildlife,birdwatching,eco-tourism"
D002,Vardzia Underground City,T021,Georgia,Samtskhe-Javakheti,Europe,Historical Sites,Easy,May–October,3,200,4.6,55,120,3100,8,Approved,2024-09-05,2024-09-07,41.3817,43.2784,"A 12th-century cave monastery city carved into a volcanic cliffside. Barely any visitors on weekdays.",Easy,Guesthouse,Akhaltsikhe,18,TRUE,Low,"cave,history,monastery,medieval,culture"
D003,Skeleton Coast Dunes Camp,T016,Namibia,Kunene Region,Africa,Desert Exploration,Challenging,May–September,7,1200,4.9,22,75,1250,9,Approved,2025-03-18,2025-03-20,-19.3667,12.9167,"A self-built camp surrounded by towering red dunes and shipwreck remains. Zero infrastructure — pure wilderness.",Very Difficult,Camping,Swakopmund,310,TRUE,Very High,"desert,solitude,shipwreck,dunes,survival"
D004,Huacachina Oasis Night Market,T004,Peru,Ica Region,South America,Cultural Exploration,Easy,March–November,2,80,4.4,67,145,4200,5,Approved,2024-11-20,2024-11-22,-14.0875,-75.5261,"Local vendors set up a night market around the oasis lagoon every Friday. Tourists never find it — it's not on any map.",Easy,Hostel,Ica,5,TRUE,Low,"oasis,night market,local culture,sand dunes,hidden"
D005,Møns Klint Secret Trails,T010,Denmark,South Denmark,Europe,Cycling & Road Trips,Easy,April–September,3,180,4.3,41,88,2700,7,Approved,2025-02-14,2025-02-16,55.0047,12.5438,"Chalk cliffs with unmarked coastal paths leading to fossil-rich beaches accessible only at low tide.",Moderate,B&B,Stege,9,TRUE,Medium,"cliffs,cycling,fossils,coastal,Scandinavia"
D006,Phu Chi Fa Cloud Forest,T018,Thailand,Chiang Rai Province,Asia,Nature & Wildlife,Moderate,November–February,4,150,4.5,79,160,5800,10,Approved,2024-08-01,2024-08-03,20.2694,100.5269,"A mountain ridge where clouds roll through pine forests at dawn. Only reachable by a steep 2h hike from a hilltribe village.",Difficult,Homestay,Chiang Rai,80,TRUE,High,"cloud forest,hiking,sunrise,hill tribe,Thailand"
D007,Triglav Hidden Alpine Lakes,T008,Slovenia,Julian Alps,Europe,Mountain Climbing,Challenging,July–September,6,350,4.8,31,110,2400,12,Approved,2024-12-03,2024-12-05,46.3791,13.8383,"Seven glacial lakes in a high alpine basin unmarked on tourist maps. Accessible only via a technical scramble at 2,000m.",Very Difficult,Alpine hut,Bohinj,25,TRUE,Very High,"alpine,glacial lakes,climbing,Slovenia,wilderness"
D008,Salento Coffee Trail Villages,T011,Colombia,Quindío Department,South America,Rural & Farm Stays,Easy,December–March,5,220,4.6,88,195,6300,8,Approved,2025-04-09,2025-04-11,4.6368,-75.5706,"Tiny coffee-growing villages connected by mule paths. Stay with farming families and pick coffee at dawn.",Easy,Farmhouse,Armenia,35,TRUE,Low,"coffee,farm stay,rural,Colombia,culture"
D009,The Dead City of Al-Bara,T009,Syria,Idlib Governorate,Middle East,Historical Sites,Moderate,March–May,3,120,4.2,19,52,980,7,Approved,2025-05-22,2025-05-24,36.0039,36.5753,"One of Syria's Byzantine Dead Cities — limestone ghost towns abandoned 1,400 years ago. Almost no visitors.",Moderate,Local guesthouse,Maaret al-Numan,15,TRUE,Medium,"ruins,Byzantine,ghost town,history,Middle East"
D010,Faroe Islands Sea Cave Kayak,T006,Faroe Islands,Vágar Island,Europe,Adventure Sports,Challenging,June–August,4,600,4.7,26,85,1900,11,Approved,2024-07-15,2024-07-17,62.0711,-7.2767,"Sea kayaking into enormous basalt sea caves accessible only at dead calm — a window of 2–3 hours per day.",Very Difficult,Guesthouse,Tórshavn,40,TRUE,High,"kayaking,sea caves,Faroe Islands,adventure,basalt"
D011,Wadi Rum Hidden Canyon Camp,T009,Jordan,Ma'an Governorate,Middle East,Desert Exploration,Moderate,September–May,4,300,4.8,44,130,3400,9,Approved,2025-01-28,2025-01-30,29.5528,35.4128,"An unmarked box canyon with ancient Nabataean rock carvings and a Bedouin camp accessible only by camel.",Difficult,Bedouin tent,Aqaba,62,TRUE,High,"canyon,Bedouin,Nabataean,desert,Jordan"
D012,Puglia Trulli Valley Walk,T013,Italy,Valle d'Itria,Europe,Gastronomy & Food Tours,Easy,April–June,5,500,4.5,72,150,5100,10,Approved,2024-10-10,2024-10-12,40.7316,17.2412,"A countryside trail linking family olive farms and trulli villages. Ends at a cellar where local wine flows freely.",Easy,Agriturismo,Alberobello,12,TRUE,Low,"food,olive oil,wine,trulli,Italy"
D013,Kamchatka Volcanoes Base Camp,T016,Russia,Kamchatka Krai,Asia,Wilderness Survival,Expert,July–August,14,2200,4.9,14,65,890,15,Approved,2025-06-01,2025-06-04,53.9233,160.3133,"A raw expedition campsite between three active volcanoes. No roads — helicopter drop only. Geysers within walking distance.",Expert Only,Camping,Petropavlovsk-Kamchatsky,120,TRUE,Very High,"volcano,expedition,Russia,wilderness,geysers"
D014,Chinchero Ancient Market,T004,Peru,Cusco Region,South America,Cultural Exploration,Easy,All Year,2,60,4.3,93,185,7200,6,Approved,2024-05-30,2025-06-01,-13.3933,-72.0411,"A Sunday weaving market in a pre-Inca hillside town. Women in traditional dress sell textiles — zero tour groups present.",Easy,Hostel,Cusco,28,TRUE,Low,"market,weaving,Inca,culture,Peru"
D015,Scottish Islands Bothy Network,T06,United Kingdom,Outer Hebrides,Europe,Hiking & Trekking,Moderate,May–September,7,400,4.6,37,98,2850,9,Approved,2024-08-25,2024-08-27,57.9000,-7.0000,"A network of free stone mountain shelters on roadless Scottish islands. Reachable only by small ferry and a day's hike.",Difficult,Bothy (free shelter),Stornoway,35,TRUE,Medium,"bothy,Scotland,islands,hiking,remote"
